abstract,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,most_probable_topic
"organic farmers in semiarid montana desire green manures that supply sufficient soil nitrate-n (no 3-n) to subsequent crops with minimal soil water depletion. spring and winter pea (pisum sativum l.) green manures were compared at the bloom and pod stages for soil no 3-n contribution and water use, and subsequent winter wheat (triticum aestivum l.) grain yield and quality in a long-term organic farm in northern montana. winter wheat was managed with three additional variables (cultivar, row spacing, and seeding rate). winter pea had 15/c1 33 kg ha/c281 greater shoot n content (at pod stage only), contributed 14 /c120 kg ha/c281 greater soil no 3-n, used 26 /c131 mm less soil water, and increased winter wheat grain yield by 13/c139%and protein by 1.5 percentage units(2007 only),compared with spring pea.",0.0025254947,0.11196331,0.0025255603,0.0025254202,0.0025255065,0.0025254125,0.86530733,0.002525583,0.002525408,0.0025254944,0.0025254798,Winter wheat and spring pea intercropping
"climate change will lead to changes in soil moisture and temperature, thereby affecting organic matter mineralization and the cycling of biophilic elements such as nitrogen. however, very few studies have considered how the sensitivity of the rate of net nitrogen mineralization to temperature and/or moisture content may be modified by changes in these parameters. to investigate how changes in temperature and moisture content affect net nitrogen mineralization (as regards both the mineralization rate and the sensitivity of the mineralization rate to changes in temperature and moisture content), a laboratory experiment was carried out...",0.9058642,0.0034967745,0.003496861,0.0034968525,0.0034969351,0.0034966988,0.0626641,0.0034968,0.003496943,0.0034967891,0.0034970324,Microbial activity and organic carbon in soil
"the objectives of this greenhouse experiment were to quantify the benefits of green manure (gm) diversity and to assess effect of gm on a succeeding lettuce crop. species included barley (b), field pea (p), sunn hemp (s), and buckwheat (u). treatments included single plantings of b and p and mix-tures of b and p (bp), b, p, and s (bps), and b, p, s, and u (bpsu). the pea gm had the highest shoot concentration of potassium, calcium, magnesium, manganese, zinc, and iron. roots had higher concentrations of nutrientsthan shoots. accumulation of nutrients in legumes was higher than in barley. the co2flux from the soil suggests that the most intensive miner-alization period occurred within two weeks after incorporation of gms. themixtures and single planting of p mixtures had a significant benefit over single planting of b regarding fresh and dry weight of the lettuce.",0.0039528143,0.09444671,0.003952833,0.003952905,0.003952996,0.3458296,0.0039530583,0.28482598,0.24722725,0.0039530294,0.003952819,Legume effects on wheat yield and microbial communities
"a number of approaches have been used to model and thus describe n mineralization kinetics in soils. in this paper, we review and present a comparative evaluation of some approaches to modelling adopted for this purpose. these may broadly be categorized as: (1) simple functional approaches to predict net n mineralization and, (2) mechanistic approaches that include a description of microbial biomass processes to predict long-term c and n turnover in soils.",0.006993846,0.0069934474,0.52720207,0.14548805,0.0069939224,0.00699343,0.0069944756,0.0069935294,0.0069933813,0.006993465,0.27136043,Organic fertilizers and plant ecosystem
"our objective was to examine the dynamics of organic matter in whole soil, particulate (pom; >53μm size), and mineral-associated (maom) fractions under varying crop rotations and nutrient managements at two long-term experimental sites (breton and lethbridge). compared to cropped soils, an adjacent forest exhibited a significantly higher soil total organic carbon (toc) and a shift in som fractions with substantially higher pom. when contrasted to simple 2 yr rotations, the complex rotations including perennials and legumes significantly raised toc and soil total nitrogen as well as the stable som fraction (i.e., maom-c and -n) consistently for both breton and lethbridge sites. our findings highlight that varying land managements have profound feedbacks on soil quality as mediated by alterations in long-term som dynamics., keywords: [agroecosystem, microbial biomass, soil organic matter, aggregation, soil quality], introduction: retaining and developing soil quality are crucial for achieving sustainable agriculture systems. when focusing on soil quality status, the quantity and composition of soil organic matter (som) emerges as one of the key criteria that govern the overall performance of most...",0.15052676,0.0028413506,0.22588028,0.069358416,0.00284165,0.002841377,0.0028417532,0.5343438,0.0028414319,0.002841495,0.0028416724,Legume root dynamics in crop residue management
"this study investigated the relationship between a recently proposed alkaline hydrolysis method for estimating the chemical index of nitrogen (n) mineralization potential of soils and the activities of arylamidase and four amidohydrolases involved in hydrolysis of organic n (on) in soils. results showed that estimated nmax values were strongly correlated with the activities of arylamidase and amidohydrolases. based on the specificity of enzyme reactions and the strong relationship between estimated nmax values and the activities of arylamidase and amidohydrolases, we concluded that similar amide-n bonds were susceptible to enzymatic and alkaline hydrolysis, and that alkaline hydrolyzable on can be used as an index of n mineralization in soils.",0.55230063,0.0069943243,0.0069939997,0.0069935243,0.38475513,0.0069935434,0.0069934567,0.006993448,0.006993442,0.0069938493,0.0069946814,Microbial activity and organic carbon in soil
"this dissertation aims to investigate the dynamics of carbon and nitrogen mineralization in soil-plant systems. the study focuses on measuring and modelling the mineralization of diverse plant residues. the research is conducted in the international ph.d. program for agricultural sciences in gottingen, germany. nguyen trung hai presents this dissertation to obtain a ph.d. degree in agricultural sciences from georg-august-university. the results of this research may contribute to the improvement of nutrient management strategies in agriculture.",0.0064950422,0.63437295,0.19698468,0.006494607,0.0064943056,0.0064940113,0.11668731,0.0064941486,0.0064944862,0.006494062,0.006494405,Organic manure and crop research
"the process of nitrogen (n) mineralization in soils is critical for crop fertility. soil organic matter, prior crop residues, and organic amendments all contribute to n mineralization, which is the conversion of organic n into plant-available forms. this article reviews the factors that affect n mineralization rates and discusses the importance of managing n availability for crop productivity and environmental sustainability.",0.18322791,0.0060614683,0.40545043,0.2876257,0.006061743,0.006061145,0.0060614743,0.0060614734,0.006061777,0.0060618,0.08126509,Organic fertilizers and plant ecosystem
"uneven distribution and intensity of rainfall in subtropical semi-arid vertisol creates different hydro-climatic condition due to its mineralogy and expansive type of clays. indeed, information on impact of moisture levels on soil c- and n-mineralization in presence of residue and recommended fertilization is scarce. thus, this incubation experiment was conducted at icar-indian institute of soil science, bhopal during 2018–19 with four moisture, two fertilizer, and two residue levels to evaluate the effects of fertilization and residue incorporation on moisture sensitivity of soil c- and n-mineralization. application of fertilizer induced positive priming effect for co2-c and increased by ~28%. residue- and fertilizer × residue accelerated the ccum by ~108 and 125%, respectively. residue application caused initial n-immobilization. a significant interaction was observed among fertilizer, residue and moisture content for both c- and n-mineralization. c-mineralization was amplified with increase in soil moisture content from 24 to 40% moisture levels, but decreased at 48% moisture level. irrespective of fertilization moisture sensitivity of c and n mineralization was reduced by residue incorporation. but, fertilization led to highest moisture sensitivity of n-mineralization. thus, residue incorporation could be recommended as obligatory practice in sub-tropical vertisol to decrease its moisture sensitivity and to maintain positive c balance and soil health.",0.0019764847,0.0019764735,0.0019764071,0.0019764819,0.0019764309,0.00197642,0.001976456,0.001976602,0.98023546,0.0019763922,0.0019764155,Manure application effects on soil fertility
"after decades of searching for a rapid method to estimate the n mineralization capacity of soil, there is still no consistent recommendation. the efficacy of various references that have been used as benchmarks for assessing chemical and physical indices in the literature is critically reviewed in this paper. gross n mineralization and consumption during waterlogged and aerobic incubations were estimated in a wide range of soils. commonly used references include the amount of mineral n accumulated during a period of aerobic or waterlogged incubation, potentially mineralizable n calculated from long-term incubation, or n uptake by plants grown in greenhouse or field experiments. to develop a method that accurately estimates the size of the labile organic n pool has been a goal of scientists in decades past, and a number of chemical and physical methods have been proposed (bremner, 1965; keeney, 1982). unfortunately, none of these methods has been consistently successful.",0.003135338,0.59988844,0.0031355626,0.003135285,0.3078652,0.0031353894,0.0031352402,0.0031351096,0.0031353242,0.0671637,0.0031353848,Organic manure and crop research
the immobilization and mineralization of n following plant residue incorporation were studied in a sandy loam soil using 15n-labelled field pea (pisum sativum l.) and spring barley (hordeum vulgare l.) straw. both crop residues caused a net immobilization of soil-derived inorganic n during the complete incubation period of 84 days...,0.004785131,0.0047850586,0.004785834,0.004785078,0.0047851363,0.0047852057,0.004785402,0.6103587,0.34657428,0.004785141,0.004785035,Legume root dynamics in crop residue management
